x;y
-5.0;0.42857142857142855
-4.99;0.42827898246318663
-4.98;0.42798472453128344
-4.97;0.42768863967868964
-4.96;0.42739071264978257
-4.95;0.4270909280283304
-4.94;0.4267892702354457
-4.93;0.426485723527509
-4.92;0.42618027199406067
-4.91;0.425872899555661
-4.9;0.42556358996171845
-4.89;0.4252523267882847
-4.88;0.4249390934358165
-4.87;0.42462387312690325
-4.86;0.4243066489039603
-4.85;0.42398740362688675
-4.84;0.42366611997068776
-4.83;0.4233427804230602
-4.82;0.4230173672819412
-4.81;0.42268986265301883
-4.8;0.422360248447205
-4.79;0.42202850637806816
-4.78;0.4216946179592275
-4.77;0.4213585645017054
-4.76;0.4210203271112395
-4.75;0.4206798866855524
-4.74;0.42033722391157885
-4.73;0.41999231926264924
-4.72;0.4196451529956287
-4.71;0.4192957051480117
-4.7;0.4189439555349699
-4.69;0.418589883746354
-4.68;0.41823346914364745
-4.67;0.417874690856872
-4.66;0.41751352778144385
-4.65;0.4171499585749793
-4.64;0.4167839616540495
-4.63;0.4164155151908831
-4.62;0.4160445971100152
-4.61;0.415671185084883
-4.6;0.4152952565343659
-4.59;0.4149167886192696
-4.58;0.41453575823875294
-4.57;0.41415214202669626
-4.56;0.4137659163480112
-4.55;0.4133770572948892
-4.54;0.4129855406829889
-4.53;0.4125913420475603
-4.52;0.41219443663950545
-4.51;0.41179479942137387
-4.5;0.41139240506329117
-4.49;0.41098722793882025
-4.48;0.4105792421207538
-4.47;0.4101684213768358
-4.46;0.40975473916541183
-4.45;0.40933816863100636
-4.4399999999999995;0.4089186825998251
-4.43;0.4084962535751821
-4.42;0.4080708537328486
-4.41;0.40764245491632406
-4.4;0.40721102863202546
-4.39;0.40677654604439567
-4.38;0.4063389779709276
-4.37;0.40589829487710316
-4.36;0.4054544668712452
-4.35;0.40500746369928076
-4.34;0.404557254739414
-4.33;0.40410380899670667
-4.32;0.4036470950975642
-4.31;0.40318708128412656
-4.3;0.4027237354085603
-4.29;0.4022570249272513
-4.28;0.40178691689489515
-4.27;0.40131337795848393
-4.26;0.4008363743511865
-4.25;0.400355871886121
-4.24;0.399871835950016
-4.23;0.3993842314967602
-4.22;0.3988930230408357
-4.21;0.3983981746506349
-4.2;0.39789964994165694
-4.1899999999999995;0.3973974120695821
-4.18;0.3968914237232212
-4.17;0.3963816471173374
-4.16;0.39586804398533826
-4.15;0.3953505755718344
-4.14;0.3948292026250631
-4.13;0.3943038853891731
-4.12;0.3937745835963677
-4.11;0.393241256458904
-4.1;0.3927038626609442
-4.09;0.39216236035025664
-4.08;0.39161670712976265
-4.07;0.39106686004892655
-4.06;0.3905127755949848
-4.05;0.38995440968401196
-4.04;0.3893917176518178
-4.03;0.3888246542446747
-4.02;0.38825317360986944
-4.01;0.38767722928607645
-4.0;0.3870967741935484
-3.99;0.38651176062412046
-3.98;0.38592214023102395
-3.9699999999999998;0.3853278640185048
-3.96;0.3847288823312431
-3.95;0.38412514484356897
-3.94;0.3835166005484704
-3.9299999999999997;0.38290319774638837
-3.92;0.3822848840337943
-3.91;0.3816616062915452
-3.9;0.38103331067301155
-3.8899999999999997;0.3803999425919724
-3.88;0.3797614467102732
-3.87;0.3791177669252395
-3.86;0.37846884635684325
-3.8499999999999996;0.37781462733461335
-3.84;0.37715505138428707
-3.83;0.3764900592141945
-3.8200000000000003;0.37581959070137094
-3.81;0.375143584877391
-3.8;0.3744619799139168
-3.79;0.37377471310795507
-3.7800000000000002;0.37308172086681557
-3.77;0.37238293869276373
-3.76;0.37167830116736084
-3.75;0.3709677419354839
